event_name,event_type,start_date,end_date,venue,address,organizer,entry_fee,description,website,phone,category,frequency,state,country,created_date,predicted
Caldwell Gun Club Weekly Trap Shoot,Competition,2025-09-04,2026-09-30,Caldwell Gun Club,"21840 Pond Ln, Caldwell, ID 83607",Caldwell Gun Club,$15,"Weekly trap shooting, sporting clays, and 5-stand competitions",caldwellshotguncomplex.com,208-459-2616,Competition,Weekly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2025-09-06,2025-09-06,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2025-09-13,2025-09-14,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2025-09-13,2025-09-13,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2025-09-13,2025-09-13,Parma Rod & Gun Club,"1420 Boehm Ln, Parma, ID 83660",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
Idaho Enhanced Concealed Carry Class,Training,2025-09-15,2025-09-15,Various Locations,Statewide,DX3 Training,$125,Enhanced concealed carry permit training class,legalheat.com,TBD,Training,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Nampa,Gun Show,2025-09-20,2025-09-21,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2025-09-21,2025-09-21,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Idaho,Gun Show,2025-09-27,2025-09-28,Bonneville County Fairgrounds,"1542 E 73rd S, Idaho Falls, ID 83404",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Coeur,Gun Show,2025-10-04,2025-10-05,Kootenai County Fairgrounds,"4056 N Government Way, Coeur d'Alene, ID 83815",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2025-10-04,2025-10-04,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2025-10-11,2025-10-11,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2025-10-11,2025-10-11,South East Idaho Practical Shooters,"TBD, Idaho Falls area",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2025-10-19,2025-10-19,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
NRA Winter League Matches,Competition,2025-11-01,2026-03-31,Multiple Indoor Ranges,Statewide,Idaho State Rifle & Pistol Association,$25,Winter indoor shooting league matches,idahosrpa.org,TBD,Competition,Seasonal,ID,USA,2025-08-18,True
USPSA Practical Pistol Match,Competition,2025-11-01,2025-11-01,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-18,True
Steel Challenge Match,Competition,2025-11-08,2025-11-08,Gem County Rod & Gun Club,"3600 E Main St, Emmett, ID 83617",Steel Challenge Shooting Association,$20,Fast-paced steel target competition with multiple stages,scsa.org,TBD,Competition,Monthly,ID,USA,2025-08-18,True
IDPA Monthly Match,Competition,2025-11-08,2025-11-08,Nampa Rod & Gun Club,"7990 Bennett Road, Nampa, ID 83686",Nampa Rod & Gun Club,$25,International Defensive Pistol Association practical shooting match,nragc.com/idpa,530-219-3118,Competition,Monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Post,Gun Show,2025-11-08,2025-11-09,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
Great Idaho Gun Show - Nampa,Gun Show,2025-11-15,2025-11-16,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-18,True
